T_K,P_CO_bar,P_H2_bar,CO_cov,H_cov,vacancy,CH4_TOF,MeOH_TOF,EtOH_TOF,PrOH_TOF,CO2_TOF,S_CH4,S_MeOH,S_EtOH,S_PrOH,max_rel_residual,max_abs_balance,success
623.0,0.3,5.0,0.9997500047839906,1.5453094284646009e-07,6.78872066450387e-10,1.337626615064518e-10,9.09309278584343e-11,3.7383666840939434e-13,5.5405138873444685e-31,1.340730768431684e-10,0.5933370843625967,0.40334642721882985,0.0033164884185734934,7.372892372425355e-21,4.923960763259067e-15,5.543689243593437e-19,True
623.0,0.3,10.0,0.9994705398166011,2.184786657021337e-07,6.786822980492824e-10,1.9324559809688e-10,3.634911632301747e-10,1.1244720347066922e-12,1.6662132653005676e-30,1.941792266460414e-10,0.34570758470436735,0.6502691566546658,0.004023258640967019,8.942339218417673e-21,5.24145764085098e-15,9.969114051052202e-19,True
623.0,1.0,0.5,0.9999746671411822,1.4663386845553087e-08,2.037073864761365e-10,1.2438261123828659e-11,2.729347023348678e-13,1.0342771542224207e-14,4.5996428787096314e-33,1.2448425974452166e-11,0.9769381887166719,0.02143710693017469,0.0016247043531532866,1.08380908020854e-21,2.8985933294875148e-15,8.381757359707033e-21,True
623.0,1.0,1.0,0.9999477890412456,2.0736603157710548e-08,2.0370191106993727e-10,1.7618363369096902e-11,1.0916714896079238e-12,2.9494364059724955e-14,1.3116418406948307e-32,1.764733056721182e-11,0.9386936559376945,0.05816346729801487,0.0031428767642904757,2.0964998546044676e-21,3.215583522356892e-15,9.846962888474658e-21,True
623.0,1.0,2.0,0.9998899829564972,2.9324290114270603e-08,2.0369013524517546e-10,2.4994629446697046e-11,4.366112893758629e-12,8.441570355096165e-14,3.753832308205825e-32,2.5077456592715063e-11,0.8464270314353712,0.14785560167863082,0.005717366885998056,3.813633417430863e-21,4.425165008027744e-15,7.488411963273574e-21,True
623.0,1.0,5.0,0.9996932459422474,4.635665089676249e-08,2.036500574468943e-10,3.988970000361498e-11,2.7276183051955132e-11,3.419418000079188e-13,1.5202632639046607e-31,4.0224573049906005e-11,0.5879121177542167,0.40200850196600535,0.010079380279777787,6.7218945864104895e-21,4.463757854689165e-15,8.999247639015125e-20,True
623.0,1.0,10.0,0.9993086659516183,6.553298429438982e-08,2.0357171367744058e-10,5.7282665000517914e-11,1.0901203823298007e-10,9.95922748458304e-13,4.524719004366813e-31,5.825596516885922e-11,0.34038766278510746,0.647776302119138,0.011836035095754625,8.066097448373881e-21,3.2630653873095723e-14,4.367813487252037e-19,True
623.0,3.0,0.5,0.9999694378438644,4.887770054800344e-09,6.790210706755345e-11,4.139304851460741e-12,9.09772829001997e-14,1.0206801101434805e-14,1.5130558380442388e-33,4.149487681946609e-12,0.9737946698595944,0.021402915790379336,0.004802414350026289,1.0678646027490319e-21,5.253959010213025e-15,1.86103248132826e-21,True
623.0,3.0,1.0,0.9999331950829844,6.9121001709294006e-09,6.789964603250921e-11,5.8535646649433665e-12,3.6387987430430045e-13,2.89277468399757e-14,4.288095107074927e-33,5.8824169607721535e-12,0.9327943897867303,0.05798605204451705,0.009219558168752619,2.049987292037605e-21,3.267272750034582e-15,3.19181073970346e-21,True
623.0,3.0,2.0,0.999848801394757,9.774360787111121e-09,6.78939153481133e-11,8.277088114556898e-12,1.4552510633529665e-12,8.201826178491615e-14,1.2156928825472735e-32,8.358862166252811e-12,0.8363756959347568,0.1470488901442352,0.016575413921008045,3.685266968084602e-21,5.438490014527268e-15,6.826498240478877e-21,True
623.0,3.0,5.0,0.9995302540429478,1.5449697606572286e-08,6.787228465064391e-11,1.3081291948136817e-11,9.089095914571497e-12,3.2529631313686165e-13,4.82007965222369e-32,1.3405378790629886e-11,0.573213405727789,0.3982780634232482,0.02850853084896283,6.336379352172213e-21,3.672633903071243e-15,2.86434663175032e-20,True
623.0,3.0,10.0,0.9988471457692766,2.1834239525269045e-08,6.782589874185297e-11,1.848760910346485e-11,3.630378436172184e-11,9.217375205934934e-13,1.364851815087348e-31,1.9405136900357838e-11,0.3264351024560825,0.6410147197152266,0.03255017782869086,7.229743006821395e-21,3.2415112862109408e-15,9.357145929851983e-20,True
623.0,10.0,0.5,0.9999520265436239,1.4663054849302262e-09,2.037027743023401e-11,1.2347364620401528e-12,2.7292233566249067e-14,1.0103200835651794e-14,4.493022270911189e-34,1.2448362588473007e-12,0.962956375676819,0.021284890441848617,0.015758733881332292,1.0512164923071265e-21,3.38758227901935e-15,4.096325603494447e-22,True
623.0,10.0,1.0,0.9998847538937825,2.0735295954622293e-09,2.0368907001949092e-11,1.7362369244794862e-12,1.0915337857638707e-13,2.842192542867057e-14,1.2638744450162602e-33,1.7646470484041502e-12,0.9127356487148315,0.05738167320350141,0.02988267808166719,1.9932474281616574e-21,2.380470186792257e-15,3.9059884790876434e-22,True
623.0,10.0,2.0,0.9997123293305415,2.9319079974599064e-09,2.0365394497253095e-11,2.4277829856576427e-12,4.364560898671485e-13,7.949454923263694e-14,3.534377549111254e-33,2.5072354457229737e-12,0.8030432524229384,0.1443675649830666,0.05258918259399509,3.507222094103376e-21,5.369354929379022e-15,3.401338717446049e-21,True
623.0,10.0,5.0,0.9989907137958273,4.632407386617082e-09,2.035069428339293e-11,3.714674022129637e-12,2.72378493010323e-12,3.038558634219756e-13,1.349987216372931e-32,4.018295081437555e-12,0.5271904685988006,0.38656243996350337,0.08624709143769604,5.7477484346851136e-21,3.1569404320383163e-15,5.36393616054439e-21,True
623.0,10.0,10.0,0.9973206346533524,6.540261254011114e-09,2.031667267579616e-11,4.992554350782044e-12,1.0857864777509082e-11,8.149228303254639e-13,3.614530502683946e-32,5.806595235675101e-12,0.28561091099376906,0.621149902968159,0.09323918603807202,6.203333667411863e-21,2.8948822786380153e-15,1.2078236041732155e-20,True
673.0,0.1,0.5,0.999976402780313,1.2851570364373322e-06,4.23905758012472e-08,1.4236095841004106e-08,9.04681210687558e-11,2.2044547288818043e-13,1.4485238964834568e-29,1.4230589474987999e-08,0.9936547092049474,0.006314517374487701,3.077342056483404e-05,3.0331333967090664e-21,2.420414800416217e-15,4.115447933117165e-18,True
673.0,0.1,1.0,0.9999547574156029,1.8174471696221688e-06,4.238965822012135e-08,2.0167916137754906e-08,3.618545863488001e-10,6.396893662180373e-13,4.205218745744659e-29,2.0152327364896277e-08,0.9823129375622597,0.017624748102816903,6.231433492334337e-05,6.1446716919224995e-21,2.8980816489807326e-15,7.817228554612666e-18,True
673.0,0.1,2.0,0.9999120650366724,2.570148700764446e-06,4.238784842288998e-08,2.8618536510019628e-08,1.4472777545289093e-09,1.874302660703852e-12,1.2324944096415845e-28,2.8574355001395466e-08,0.9517443480595369,0.048130987496964865,0.0001246644434982409,1.2296431594054448e-20,4.7314149229814485e-15,8.175612878506179e-18,True
673.0,0.1,5.0,0.9997844573358101,4.063243296950718e-06,4.238243893132479e-08,4.570677500179437e-08,9.042868048222684e-09,7.92563471467814e-12,5.21345546749423e-28,4.553096693983518e-08,0.8345907504310534,0.16511981057772898,0.00028943899121764577,2.855879709813745e-20,1.9580715497803847e-15,7.029301436136824e-18,True
673.0,0.1,10.0,0.9995690807124952,5.745055893601992e-06,4.237330877680208e-08,6.57226060777185e-08,3.615383426310571e-08,2.4112310373056518e-11,1.5857186586199908e-27,6.52195185682794e-08,0.6448155223517149,0.35471133779774655,0.00047313985053858794,4.6673255954813396e-20,4.5679461868413744e-15,2.8236968262355174e-17,True
673.0,0.3,0.5,0.999979291974636,4.2838691653112213e-07,1.4130232759582764e-08,4.744696744559803e-09,3.015621581271897e-11,2.1737762152483456e-13,4.766351552062542e-30,4.744275713383206e-09,0.9935938999118872,0.0063150573554145726,9.104273269817539e-05,2.9943859946760013e-21,2.849239932329995e-15,3.856114196577449e-19,True
673.0,0.3,1.0,0.9999599553622543,6.058188723476748e-07,1.4129959523090841e-08,6.720584789904216e-09,1.206194561602063e-10,6.274502898802084e-13,1.3759743402883943e-29,6.7194004728595464e-09,0.9821885152504362,0.01762808568895335,0.00018339906061052194,6.032806235883311e-21,4.071801551244184e-15,1.3197495291800393e-18,True
